Designator,Mid X,Mid Y,Rotation,Layer
C1,184.1,-64.9,270.0,top
C2,186.1,-64.9,90.0,top
L1,188.1,-64.9,270.0,top
R1,153.675,-72.675,90.0,top
R10,167.85,-71.45,180.0,bottom
R11,169.17954,-72.675,90.0,top
R12,171.76363,-72.675,90.0,top
R13,174.34772,-72.675,90.0,top
R14,176.93181,-72.675,90.0,top
R15,178.15,-73.25,180.0,bottom
R16,178.15,-71.45,180.0,bottom
R17,179.5159,-72.675,90.0,top
R18,182.1,-72.675,90.0,top
R2,156.25909,-72.675,90.0,top
R25,187.1,-68.0,0.0,top
R3,157.5,-73.25,180.0,bottom
R4,157.5,-71.45,180.0,bottom
R5,158.84318,-72.675,90.0,top
R6,161.42727,-72.675,90.0,top
R7,164.01136,-72.675,90.0,top
R8,166.59545,-72.675,90.0,top
R9,167.85,-73.25,180.0,bottom
SW1,155.0,-68.275,0.0,top
SW2,165.333333,-68.275,0.0,top
SW3,175.666666,-68.275,0.0,top
